bertopic_id,deepseek_safety_score,deepseek_safety_category,bertopic_name,bertopic_count,safety_score,safety_category,rationale,llm_score,llm_category,llm_confidence,keyword_score,keyword_category,keyword_matched,fusion_rule,api_ok,api_error,requested_model,response_model,response_id,request_temperature,request_max_tokens,started_at_utc,finished_at_utc,deepseek_candidate,kimi_candidate,binary_agree,score_difference,category_agree
0,2,stability_balance,0_leg_end_wheel_connected,628,1,not_safety,"[llm_low] Abstract primarily describes a mechanical wheel-legged robot structure with motors, linkages, and wheels, mentioning stability control and obstacle avoidance only peripherally without explicit human-protection purpose.",1.0,not_safety,0.9,1,collision_protection,"obstacle avoidance, stability",low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-SzFH6Ok3kAhcJ4BITMhlP0kL,1.0,2048,2026-07-31T06:48:49.355512+00:00,2026-07-31T06:49:24.306448+00:00,True,False,False,-1,False
1,2,safe_control,1_humanoid robot_humanoid_joint_robot,441,1,not_safety,"[llm_low] The abstract describes a model reference adaptive control method for variable-load standing, focused on control accuracy and response time rather than explicit human protection or hazard prevention.",1.0,not_safety,0.9,1,force_control,"torque control, stability",low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-knA3TwbPUDZ8Hxm84PCpoG78,1.0,2048,2026-07-31T06:48:49.360024+00:00,2026-07-31T06:49:14.744403+00:00,True,False,False,-1,False
2,0,not_safety,2_voice_user_emotion_expression,310,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-FBVrMzSpYUqMYDW6wk3JrcBa,1.0,2048,2026-07-31T06:48:49.365024+00:00,2026-07-31T06:48:59.683284+00:00,False,False,True,0,True
3,2,stability_balance,3_foot_robot_foot robot_leg,226,2,stability_balance,"[llm_low] Abstract focuses on terrain-adaptive foot trajectory control for quadruped stability and reducing hardware impact, without explicit human-protection or hazard-prevention purpose.",2.0,stability_balance,0.85,1,force_control,"force sensor, stability",low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-oyVazxE0Liof6xXeY5smRsnw,1.0,2048,2026-07-31T06:48:49.363024+00:00,2026-07-31T06:49:03.142350+00:00,True,True,True,0,True
4,0,not_safety,4_finger_thumb_palm_knuckle,209,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-2Onnnfv8FMCuT6ixk0ssXSMn,1.0,2048,2026-07-31T06:48:59.683284+00:00,2026-07-31T06:49:06.691818+00:00,False,False,True,0,True
5,1,not_safety,5_learning_training_strategy_network,192,1,not_safety,[llm_low] Reinforcement learning for stable walking gait control; no explicit human-protection or hazard-prevention purpose described.,1.0,not_safety,0.9,1,stability_balance,stability,low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-7HMo9IT5TMtCv2a59mtTF5Lc,1.0,2048,2026-07-31T06:49:03.142350+00:00,2026-07-31T06:49:16.779917+00:00,False,False,True,0,True
6,0,not_safety,6_network_learning_foot_strategy,178,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1.0,not_safety,0.9,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-vd7TtfasJMKiTrRGEDJzYvJX,1.0,2048,2026-07-31T06:49:06.692329+00:00,2026-07-31T06:49:13.579014+00:00,False,False,True,0,True
7,2,collision_protection,7_vehicle_lane_driving_lane changing,170,2,collision_protection,[keyword_fallback] Matched: collision,0.0,not_safety,0.95,2,collision_protection,collision,keyword_fallback,True,,kimi-for-coding,kimi-for-coding,chatcmpl-2BHYqHVpahQhrMX8uRHDGUlY,1.0,2048,2026-07-31T06:49:13.579014+00:00,2026-07-31T06:49:33.301512+00:00,True,True,True,0,True
8,1,fault_detection,8_patient_medical_device_user,158,1,not_safety,[llm_low] Psychological counseling and rehabilitation device for patients using service robots; no explicit humanoid robot safety or human-protection mechanism described.,1.0,not_safety,0.9,1,fault_detection,diagnosis,low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-UpjJg4D63bBUPl7gMFMqqh4G,1.0,2048,2026-07-31T06:49:14.744974+00:00,2026-07-31T06:49:31.106707+00:00,False,False,True,0,False
9,0,not_safety,9_hip_thigh_joint_second,153,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-uWLCJcQ5QTKJAPI39pl4ucHT,1.0,2048,2026-07-31T06:49:16.780916+00:00,2026-07-31T06:49:28.735897+00:00,False,False,True,0,True
