bertopic_id,bertopic_name,bertopic_count,safety_score,safety_category,rationale,llm_score,llm_category,llm_confidence,keyword_score,keyword_category,keyword_matched,fusion_rule,llm_model
0,0_leg_end_wheel_connected,628,2,stability_balance,"[llm_low] The abstract mentions stability control and obstacle avoidance detection, which are peripherally related to safety, but the primary focus is on mechanical leg structure and efficient control, not explicit human protection.",2,stability_balance,0.85,1,collision_protection,"obstacle avoidance, stability",low_max,deepseek-chat
1,1_humanoid robot_humanoid_joint_robot,441,2,safe_control,"[llm_low] The abstract describes a control method for stable standing under variable loads, which indirectly relates to stability but does not explicitly address human protection or hazard prevention.",2,safe_control,0.8,1,force_control,"torque control, stability",low_max,deepseek-chat
2,2_voice_user_emotion_expression,310,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
3,3_foot_robot_foot robot_leg,226,2,stability_balance,"[llm_low] The abstract focuses on terrain-adaptive foot trajectory control for stability and reducing impact on robot parts, which indirectly relates to safety but does not explicitly address human protection or hazard prevention.",2,stability_balance,0.8,1,force_control,"force sensor, stability",low_max,deepseek-chat
4,4_finger_thumb_palm_knuckle,209,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
5,5_learning_training_strategy_network,192,1,not_safety,"[llm_low] The abstract focuses on reinforcement learning for gait control and stable walking, with no explicit mention of human protection or hazard prevention.",1,not_safety,0.9,1,stability_balance,stability,low_max,deepseek-chat
6,6_network_learning_foot_strategy,178,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
7,7_vehicle_lane_driving_lane changing,170,2,collision_protection,[keyword_fallback] Matched: collision,0,not_safety,0.95,2,collision_protection,collision,keyword_fallback,deepseek-chat
8,8_patient_medical_device_user,158,1,fault_detection,[keyword_low] Matched: diagnosis,0,not_safety,0.95,1,fault_detection,diagnosis,low_max,deepseek-chat
9,9_hip_thigh_joint_second,153,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
10,10_grabbing_hand_task_humanoid,133,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
11,11_toy_left_doll_game,119,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
12,12_bearing_shaft_motor_output,113,2,fail_safe_emergency,"[llm_low] The abstract mentions an electromagnetic safety brake integrated into a joint, which is a fail-safe component, but the primary focus is on mechanical integration and performance, not explicit human protection.",2,fail_safe_emergency,0.8,1,force_control,torque sensor,low_max,deepseek-chat
13,13_connecting_shell_piece_second,104,0,not_safety,"[filtered] LLM(2, conf=0.80) without keyword support; treated as not_safety.",2,injury_prevention,0.8,0,not_safety,,filtered,deepseek-chat
14,14_training_target_target body_plate,104,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
15,15_point_point cloud_cloud_map,95,2,safe_control,"[llm_low] The abstract mentions ensuring stability and safety during target following with obstacle avoidance, but the primary focus is on navigation and tracking, not explicit human protection or hazard prevention.",2,safe_control,0.8,1,stability_balance,stability,low_max,deepseek-chat
16,16_test_testing_plate_device,92,1,stability_balance,[keyword_low] Matched: stability,0,not_safety,0.95,1,stability_balance,stability,low_max,deepseek-chat
17,17_data_task_semantic_humanoid robot,89,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
18,18_plate_bridge_ladder_rod,89,1,stability_balance,[keyword_low] Matched: stability,0,not_safety,0.95,1,stability_balance,stability,low_max,deepseek-chat
19,19_joint_wrist_connecting_knee joint,88,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
20,20_layer_skin_textile_bionic,84,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
21,21_decision_semantic information_semantic_information,83,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
22,22_force_external force_human robot_robot,82,5,collision_protection,"[llm_low] Explicitly describes external force detection and retreat operations to reduce force during human-robot collaboration, directly protecting humans.",5,collision_protection,0.95,1,force_control,force sensor,low_max,deepseek-chat
23,23_image_vehicle_images_camera,81,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
24,24_massage_mi_bed_mi mi,81,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
25,25_industrial robot_industrial_tool_work,79,4,risk_assessment,[llm_low] The abstracts describe an HRC workstation with risk-based zoning to protect workers from industrial robot hazards.,4,risk_assessment,0.95,0,not_safety,,low_max,deepseek-chat
26,26_face_image_video_frame,76,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,,filtered,deepseek-chat
27,27_path_navigation_obstacle_point,74,3,safe_control,"[agreement] LLM(4) + keyword(2): The abstract explicitly describes multi-dimensional safety assessment including fall risk, collision risk, and energy consumption risk for humanoid robot navigation, which is a safety mechanism.",4,safe_control,0.9,2,collision_protection,"obstacle avoidance, collision, safety assessment, balance",agreement,deepseek-chat
28,28_tobacco_robotic_operation_shelf,63,2,safe_control,"[llm_low] The abstract describes impedance iterative learning control for human-guided assembly, which involves human-robot interaction and contact dynamics, but the primary focus is on flexible assembly rather than explicit human safety or hazard prevention.",2,safe_control,0.8,1,force_control,"force sensor, impedance",low_max,deepseek-chat
