bertopic_id,bertopic_name,proposed_safety,safety_rationale,supporting_patent_numbers,evidence_patent_number,evidence_location,exact_evidence_excerpt,safety_evidence_terms,evidence_status,evidence_selection_reason,evidence_source_file,human_safety_judgment,human_harm_link,cascade_role,plausible_cascade_path,scope_limitation,reviewer_confidence,reviewer_note
0,0_leg_end_wheel_connected,PARTIAL,Safety mechanism detected via keyword analysis of 10 patents; PERCEPTION: Moderate keyword presence (4 distinct terms); PLANNING_DECISION: Marginal keyword presence (1 terms) — background or application context; MOTION_CONTROL: Moderate keyword presence (2 distinct terms); ACTUATION_MECHANICS: Strong keyword presence (7 distinct terms) in evidence texts; EMERGENCY_FAILSAFE: Marginal keyword presence (1 terms) — background or application context; HRI_INTERFACE: Moderate keyword presence (2 distinct terms); SYSTEM_INTEGRATION: Moderate keyword presence (3 distinct terms),CN119503044A;CN116215692B;CN116142349A;CN109733500A;CN116607905A;CN112429112A;CN116946390B;CN115609629B;CN201020717Y;CN122324149A,CN119503044A,CLAIM,"1. A wheel-leg type robot based on stable control technology, wherein it comprises : a fixed frame; a control box mounted on the fixed frame; an obstacle avoiding detection module, a signal receiving module, an IMU module and a controller, which are all installed in the control box; a power supply mounted on the fixed frame; a pair of leg connecting rod mechanisms symmetrically arranged under the fixed framework; each leg connecting rod mechanism comprises a front servo motor, a rear servo motor and a connecting rod mechanism; the connecting rod mechanism comprises a first connecting rod mechanism and a second connecting rod mechanism, the first connecting rod mechanism comprises a front upper end connecting rod connected with the output of the front servo motor and a front lo",obstacle,FOUND,BERTopic_representative,topic_summary.csv,INCIDENTAL,INDIRECT,PROPAGATION_NODE,IMU与障碍物感知 → 姿态和运动状态估计 → 控制器生成轮腿指令 → 关节及轮毂执行；若状态时序、运动学映射或控制模式在接口间不一致，可能产生失稳、跌倒或碰撞。,证据均为轮腿、四足、六足或多足机器人，不是人形机器人；人员伤害仅为间接推断。,HIGH,原文支持完整感知—控制—执行传播链，但主要贡献是运动稳定性和通过性能，人体安全不是发明目标。
1,1_humanoid robot_humanoid_joint_robot,PARTIAL,Safety mechanism detected via keyword analysis of 10 patents; PERCEPTION: Marginal keyword presence (1 terms) — background or application context; STATE_ESTIMATION: Marginal keyword presence (1 terms) — background or application context; PLANNING_DECISION: Moderate keyword presence (3 distinct terms); MOTION_CONTROL: Moderate keyword presence (3 distinct terms); ACTUATION_MECHANICS: Strong keyword presence (5 distinct terms) in evidence texts; EMERGENCY_FAILSAFE: Marginal keyword presence (1 terms) — background or application context; HRI_INTERFACE: Marginal keyword presence (1 terms) — background or application context; SYSTEM_INTEGRATION: Moderate keyword presence (2 distinct terms),CN115616898B;CN112859901B;CN118331283B;JP2010137289A;CN121916894A;CN116520869A;CN106737671B;CN111055285A;CN1807135A;CN122353585A,CN118331283B,CLAIM,"1. A reaction-type step planning and motion control method for human-shaped robot, wherein it comprises the following steps : obtaining the external control speed, calculating the motion step length and direction of the humanoid robot; establishing a human-shaped robot linear inverted pendulum model, based on the periodic motion characteristic and track energy conservation of the linear inverted pendulum model, combining with the condition of the stability recovery of the disturbed linear inverted pendulum model, obtaining the footprint compensation of the disturbed human-shaped robot; based on the motion step length and direction of the human-shaped robot, combining the footprint compensation, generating a plurality of foot-standing points of the human-shaped robot, based on a",stability,FOUND,BERTopic_representative,topic_summary.csv,PARTIAL,INDIRECT,SAFETY_BARRIER,外部扰动或速度变化 → 足步/ZMP状态估计 → 补偿落脚点和逆运动学 → 关节运动；若扰动估计、补偿时序或坐标接口不一致，恢复动作可能加剧失衡并导致跌倒或撞击附近人员。,主题包含人形与二足平衡控制，但混有普通机械臂和汽车控制专利；人员伤害没有被直接报告。,MEDIUM,反应式步态与平衡恢复属于安全屏障，但主题同时包含一般运动性能内容，因此标记PARTIAL。
3,3_foot_robot_foot robot_leg,PARTIAL,Safety mechanism detected via keyword analysis of 10 patents; PERCEPTION: Moderate keyword presence (4 distinct terms); STATE_ESTIMATION: Moderate keyword presence (2 distinct terms); PLANNING_DECISION: Strong keyword presence (5 distinct terms) in evidence texts; MOTION_CONTROL: Moderate keyword presence (4 distinct terms); ACTUATION_MECHANICS: Strong keyword presence (6 distinct terms) in evidence texts; EMERGENCY_FAILSAFE: Marginal keyword presence (1 terms) — background or application context; SYSTEM_INTEGRATION: Marginal keyword presence (1 terms) — background or application context,CN120295284A;CN121979265B;CN117182904B;CN118061197B;CN107045552B;CN116339362B;CN119328772B;CN121133868A;WO2012011182A1;CN122299574A,CN117182904B,CLAIM,"1. A combined eight-foot robot multi-constraint motion planning method, wherein it comprises : The combined eight-foot robot is divided into front and back four-foot robots : a first four-foot robot and a second four-foot robot; taking the structured step terrain as the obstacle terrain, dividing the swinging phase into climbing legs and non-climbing legs, establishing a double-arc reference curve under the condition of multi-constraint of the foot end track of the climbing leg, on the basis of the double-arc reference curve, establishing a control point distance collision-free inequality constraint, setting the number of control points on the double-circular arc reference curve, so that the control point distance satisfies the non-collision inequality constraint of the control p",collision;collision;obstacle,FOUND,BERTopic_representative,topic_summary.csv,PARTIAL,INDIRECT,SAFETY_BARRIER,地形和障碍物输入 → 多足落脚点及无碰撞轨迹规划 → 各腿运动控制 → 实际运动；若地形模型、碰撞约束或腿间同步不一致，可能产生碰撞、失稳或跌落。,主要为四足、八足和轮腿机器人，仅少量二足证据；人体伤害为跨场景推断。,MEDIUM,证据支持稳定和无碰撞控制屏障，但不能直接作为人形机器人伤害证据。
7,7_vehicle_lane_driving_lane changing,PARTIAL,Safety mechanism detected via keyword analysis of 10 patents; PERCEPTION: Strong keyword presence (5 distinct terms) in evidence texts; STATE_ESTIMATION: Moderate keyword presence (2 distinct terms); PLANNING_DECISION: Strong keyword presence (7 distinct terms) in evidence texts; ACTUATION_MECHANICS: Moderate keyword presence (2 distinct terms); SAFETY_MONITORING: Marginal keyword presence (1 terms) — background or application context; EMERGENCY_FAILSAFE: Marginal keyword presence (1 terms) — background or application context; HRI_INTERFACE: Marginal keyword presence (1 terms) — background or application context,CN121929149A;CN119441810A;CN116424368B;CN115871700A;CN116534055B;CN117133096A;CN117290997A;LU102027B1;CN101439733B;CN122101237A,CN119441810A,CLAIM,"1. A human-like driving track evaluation and generation method, wherein it comprises the following steps : S1, constructing a driving track data set THAD; S2, constructing the deep characteristic mapping between the vehicle state-track and the corresponding human class based on the comparison network, training the class evaluator for accurately evaluating the state-track human class degree; S3, combining the level evaluator with the enhanced learning, using the level evaluator to train the driving reward signal provided for the enhanced learning to generate a track generator of safe and human-like driving track.",safe ,FOUND,BERTopic_representative,topic_summary.csv,NOT_SAFETY,INDIRECT,OUT_OF_SCOPE,车辆状态及道路环境 → 类人轨迹评价或强化学习规划 → 换道控制 → 车辆运动；规划和执行接口不一致可能导致交通碰撞，但该链条属于自动驾驶。,主题主体是车辆换道、车道保持和类人驾驶，不属于人形机器人研究范围。,HIGH,“human-like”主要指驾驶风格，不是人形机器人；应从主要人形机器人分析中排除。
12,12_bearing_shaft_motor_output,PARTIAL,Safety mechanism detected via keyword analysis of 10 patents; PERCEPTION: Moderate keyword presence (2 distinct terms); MOTION_CONTROL: Moderate keyword presence (2 distinct terms); ACTUATION_MECHANICS: Strong keyword presence (8 distinct terms) in evidence texts; SAFETY_MONITORING: Marginal keyword presence (1 terms) — background or application context; EMERGENCY_FAILSAFE: Moderate keyword presence (2 distinct terms); SYSTEM_INTEGRATION: Marginal keyword presence (1 terms) — background or application context,CN110666836A;CN112888534B;CN112888535B;CN121649957A;CN210061197U;CN111086022A;CN121157000A;CN118636189A;JP2010069565A;CN224183069U,CN110666836A,CLAIM,"1. The bidirectional output-for humanoid robot integrated joint, wherein the arm part comprises frameless torque motor (100), electromagnetic safe brake (200), the absolute value of the position sensor (300); the harmonic speed reducer (400), an output part (500), a bearing and a bearing frame (600), shell (700), frameless torque motor (100) comprises a motor stator (110), a motor rotor (120), a high speed motor shaft (130); wherein the motor stator (120) is installed on the inner wall of the shell (700), a motor rotor (120) is installed on the high speed motor shaft (130); the electromagnetic safe brake (200) comprises a stator body (210); the locating disc (220), sensing the brake disc (230), the outer cover (240), a shaft supporting the auxiliary structure (250), an el",safe ,FOUND,BERTopic_representative,topic_summary.csv,PARTIAL,INDIRECT,SAFETY_BARRIER,位置和速度传感器 → 伺服驱动 → 电机、减速器及关节输出；异常或断电时安全制动器应限制运动，若传感器、驱动状态和制动触发条件不匹配，机械臂可能继续运动并接触人员。,主题混合安全制动、被动阻抗和普通关节结构；专利没有明确报告人员受伤。,MEDIUM,安全制动属于明确屏障，但不少专利主要优化紧凑性、输出性能和关节结构，因此标记PARTIAL。
15,15_point_point cloud_cloud_map,PARTIAL,Safety mechanism detected via keyword analysis of 10 patents; PERCEPTION: Strong keyword presence (10 distinct terms) in evidence texts; STATE_ESTIMATION: Strong keyword presence (5 distinct terms) in evidence texts; PLANNING_DECISION: Marginal keyword presence (1 terms) — background or application context; EMERGENCY_FAILSAFE: Marginal keyword presence (1 terms) — background or application context; SYSTEM_INTEGRATION: Moderate keyword presence (3 distinct terms),CN121541648B;CN120125755B;CN116147642B;US20210276185A1;EP4114622A1;CN114663754B;CN110954100A;CN113865556B;JP2009042145A;CN121682451B,CN120125755B,ABSTRACT,"The invention discloses a building model reconstruction method and system based on a quadruped robot and machine vision. Based on the quadruped robot equipped with a laser scanner, a global map of an area to be reconstructed is generated by using synchronous positioning and map construction technology. Combine three-dimensional ray tracing and A * path search algorithm to determine the target scanning point and perform global path planning. Based on the high-precision sensor carried by the quadruped robot, the adaptive Monte Carlo positioning and improved dynamic window method algorithm are used to achieve the precise positioning and obstacle avoidance of the quadruped robot in complex environments. After moving to the target scanning point, the robot stops and starts the laser scanner",avoidance;obstacle,FOUND,BERTopic_representative,topic_summary.csv,INCIDENTAL,INDIRECT,CONTEXT_ONLY,点云和图像采集 → SLAM及地图构建 → 路径与避障规划 → 四足机器人运动；地图误差可能传播为错误路径并造成碰撞。,代表专利是四足机器人建筑扫描和重建，不是人形机器人；安全仅是完成测绘任务的辅助条件。,HIGH,障碍物规避存在，但发明的主要目标是点云重建和测绘性能，适合作为背景链条而非核心安全证据。
22,22_force_external force_human robot_robot,PARTIAL,Safety mechanism detected via keyword analysis of 10 patents; PERCEPTION: Moderate keyword presence (4 distinct terms); PLANNING_DECISION: Marginal keyword presence (1 terms) — background or application context; ACTUATION_MECHANICS: Moderate keyword presence (3 distinct terms); SAFETY_MONITORING: Moderate keyword presence (4 distinct terms); EMERGENCY_FAILSAFE: Moderate keyword presence (2 distinct terms); HRI_INTERFACE: Strong keyword presence (5 distinct terms) in evidence texts; SYSTEM_INTEGRATION: Moderate keyword presence (2 distinct terms),DE102016001643B4;CN108297056B;CN108297056A;US12552034B2;CN108789408A;CN107765686A;CN105690383A;WO2025005980A1;KR1020090056699A;KR1020260100240A,CN108297056B,ABSTRACT,"A human-collaborative robot system includes a first force detection section that detects external force acting on a robot; a second force detection section that detects only an operating force acting on the robot when a human manually operates the robot; and a safety assurance operation command section that, in the case where the external force detected by the first force detection section exceeds a predetermined threshold value, commands a safety assurance operation of causing the robot to move in a direction that reduces the external force or causing the robot to stop. When the human is manually operating the robot while the robot is in the stopped state, the safety assurance operation command section compares a value obtained by subtracting the operating force detected by the secon",safety,FOUND,BERTopic_representative,topic_summary.csv,DIRECT,DIRECT,SAFETY_BARRIER,人与机器人发生物理接触 → 外力及人工操作力检测 → 区分预期操作力与异常接触力 → 降低接触力或停止；若传感器、阈值或意图区分错误，机器人可能未能停止或产生错误避让动作。,主要是通用协作机器人或工业机器人，并非全部属于人形机器人。,HIGH,原文明示共享空间、人体接触、外力阈值及停止行为，人体伤害关联和安全屏障均明确。
25,25_industrial robot_industrial_tool_work,PARTIAL,Safety mechanism detected via keyword analysis of 9 patents; STATE_ESTIMATION: Marginal keyword presence (1 terms) — background or application context; EMERGENCY_FAILSAFE: Marginal keyword presence (1 terms) — background or application context; HRI_INTERFACE: Moderate keyword presence (4 distinct terms); SYSTEM_INTEGRATION: Marginal keyword presence (1 terms) — background or application context,CN105555490B;CN105555490A;DE202013104264U1;WO2018219744A1;US20190105779A1;DE102017124713B3;DE102012006180A1;JP2008022023A;IN202517091964A,CN105555490B,CLAIM,"[CLAIM 1] 1. A work station having a programmable industrial robot (4), wherein said work station (1) of the industrial robot (4) has a manual station near the worker (5), wherein said work station (1) is designed for human collaboration, MRK, wherein the industrial robot (4) and the working space of the worker (5) crossing the working space, and can have physical contact between the said industrial robot (4) and said worker (5). wherein said work station (1) is divided into a plurality of different areas (17, 18, 19, 20), the regions with different degree, from dangerous degree of the industrial robot (4), and wherein the industrial robot (4) is designed to be suitable to the MRK, wherein said work station (1) on different areas (17, 18, 19, 20) are provided with different",dangerous,FOUND,BERTopic_representative,topic_summary.csv,DIRECT,DIRECT,SAFETY_BARRIER,人员进入人机共享区域 → 区域危险等级和触觉状态识别 → 选择机器人速度、力和行为模式；若区域状态、危险等级或行为阈值不同步，机器人可能在人员附近执行不安全动作。,证据主要是工业机器人和协作工作站，不应被表述为人形机器人发生率证据。,HIGH,对人员危险和物理接触的描述明确，可作为跨机器人类型的直接安全屏障及外部对照。
27,27_path_navigation_obstacle_point,DIRECT,Safety mechanism detected via keyword analysis of 8 patents; PERCEPTION: Strong keyword presence (12 distinct terms) in evidence texts; STATE_ESTIMATION: Moderate keyword presence (2 distinct terms); PLANNING_DECISION: Strong keyword presence (5 distinct terms) in evidence texts; MOTION_CONTROL: Marginal keyword presence (1 terms) — background or application context; ACTUATION_MECHANICS: Marginal keyword presence (1 terms) — background or application context; SAFETY_MONITORING: Marginal keyword presence (1 terms) — background or application context; EMERGENCY_FAILSAFE: Marginal keyword presence (1 terms) — background or application context; SYSTEM_INTEGRATION: Moderate keyword presence (2 distinct terms),CN120447563B;CN120928375B;CN120991885A;CN120886273B;CN120886273A;CN117841002A;CN121677735B;KR1020160032608A,CN120447563B,CLAIM,"1. A planning method of autonomous navigation path of humanoid robot in complex environment, wherein it comprises : obtaining the current position of the robot as the initial position, receiving the path requirement request of the navigation task of the humanoid robot, and determining the target position according to the path requirement request; constructing a robot feasible motion space based on the body size constraint, joint motion constraint and dynamic balance constraint of the human-shaped robot, generating a constraint preposed map, comprising : analyzing the body width, height and gravity centre position parameter of the human-shaped robot, determining the body size boundary; determining the joint motion boundary based on the joint angle range and motion speed limit of",balance,FOUND,BERTopic_representative,topic_summary.csv,DIRECT,DIRECT,SAFETY_BARRIER,环境和人员行为感知 → 动态障碍预测及冲突区域识别 → 人形机器人约束规划和社会协商 → 风险评价及安全路径；若人员预测、优先级或平衡约束不一致，可能选择局部可行但会碰撞或失稳的路径。,专利描述的是风险预防方法，并非真实事故记录。,HIGH,证据同时覆盖人形机器人约束、人员冲突、碰撞风险和安全路径选择，是较强的直接安全证据。
28,28_tobacco_robotic_operation_shelf,PARTIAL,Safety mechanism detected via keyword analysis of 10 patents; PERCEPTION: Strong keyword presence (7 distinct terms) in evidence texts; STATE_ESTIMATION: Moderate keyword presence (2 distinct terms); PLANNING_DECISION: Marginal keyword presence (1 terms) — background or application context; MOTION_CONTROL: Marginal keyword presence (1 terms) — background or application context; ACTUATION_MECHANICS: Moderate keyword presence (3 distinct terms); SAFETY_MONITORING: Marginal keyword presence (1 terms) — background or application context; EMERGENCY_FAILSAFE: Marginal keyword presence (1 terms) — background or application context; HRI_INTERFACE: Moderate keyword presence (4 distinct terms); SYSTEM_INTEGRATION: Moderate keyword presence (2 distinct terms),CN118544362B;CN120717223B;CN120717223A;EP4025394A1;IN202311074144A;US10668623B2;CN121403406A;IN202511040243A;CN202794402U;CN121973246A,CN118544362B,CLAIM,"1. A human-guided visual-force fusion mechanical arm impedance iterative learning control method, wherein the method comprises the following steps : S100 : obtaining the coordinate conversion relation between the camera carried on the actuator at the tail end of the mechanical arm and the tail end of the mechanical arm by hand-eye calibration, solving the coordinate relation between the six-dimensional force sensor and the tail end of the mechanical arm by geometric relation; S200 : according to the coordinate conversion relation between the camera and the mechanical arm end, deducing the visual servo acceleration model, combining the human-mechanical arm interactive dynamic equation and the coordinate conversion relation between the mechanical arm end and the six-dimensional force",impedance,FOUND,BERTopic_representative,topic_summary.csv,INCIDENTAL,INDIRECT,PROPAGATION_NODE,人工引导、视觉及力觉数据 → 接触动力学和阻抗学习 → 轨迹控制 → 机械臂接触作业；若坐标标定、接触模型或阻抗参数不一致，可能产生超出预期的接触力。,主题混有烟草、仓储、工业装配和少量人形机器人抓取；人员伤害是间接推断。,MEDIUM,传播链明确，但主要目标是柔顺装配和作业性能，不是人体保护，因此标记INCIDENTAL。
