item_no,pair_id,bertopic_id,mechanism_label,mechanism_summary,representative_evidence,scope_limitation,standard,clause_id,clause_title,clause_level,normative_text_checked,requirement_type,mapping_judgment,confidence,reviewer_comment
1,T25_ISO_13482_5.5,25,Shared-workspace state-dependent motion control,"Human presence and workspace/tactile state are used to assign a hazard state and select robot speed, force, or operating behavior near a person.","[CLAIM 1] 1. A work station having a programmable industrial robot (4), wherein said work station (1) of the industrial robot (4) has a manual station near the worker (5), wherein said work station (1) is designed for human collaboration, MRK, wherein the industrial robot (4) and the working space of the worker (5) crossing the working space, and can have physical contact between the said industrial robot (4) and said worker (5). wherein said work station (1) is divided into a plurality of different areas (17, 18, 19, 20), the regions with different degree, from dangerous degree of the industrial robot (4), and wherein the industrial robot (4) is designed to be suitable to the MRK, wherein s",证据主要是工业机器人和协作工作站，不应被表述为人形机器人发生率证据。,ISO 13482:2014,5.5,Electrostatic potential,2,N,SAFEGUARD,INSUFFICIENT,LOW,"Clause 5.5 is titled electrostatic potential, but its normative text is not provided; the mechanism concerns workspace-presence-based motion control, not electrostatic protection."
2,T22_ISO_10218-1_5.1.6,22,Contact-force detection and protective response,Physical human-robot contact is sensed as external/operator force; the controller distinguishes intended guidance from abnormal contact and reduces force or stops.,"A human-collaborative robot system includes a first force detection section that detects external force acting on a robot; a second force detection section that detects only an operating force acting on the robot when a human manually operates the robot; and a safety assurance operation command section that, in the case where the external force detected by the first force detection section exceeds a predetermined threshold value, commands a safety assurance operation of causing the robot to move in a direction that reduces the external force or causing the robot to stop. When the human is manually operating the robot while the robot is in the stopped state, the safety assurance operation com",主要是通用协作机器人或工业机器人，并非全部属于人形机器人。,ISO 10218-1:2025,5.1.6,Temperature and fire risks,2,N,HAZARD,INSUFFICIENT,LOW,"Cannot confirm the clause’s normative text from the title alone. The described mechanism detects external/contact force and triggers stop/force reduction, but it does not address temperature monitoring, fire detection, or fire-risk mitigation."
3,T25_ISO_13482_5.10,25,Shared-workspace state-dependent motion control,"Human presence and workspace/tactile state are used to assign a hazard state and select robot speed, force, or operating behavior near a person.","[CLAIM 1] 1. A work station having a programmable industrial robot (4), wherein said work station (1) of the industrial robot (4) has a manual station near the worker (5), wherein said work station (1) is designed for human collaboration, MRK, wherein the industrial robot (4) and the working space of the worker (5) crossing the working space, and can have physical contact between the said industrial robot (4) and said worker (5). wherein said work station (1) is divided into a plurality of different areas (17, 18, 19, 20), the regions with different degree, from dangerous degree of the industrial robot (4), and wherein the industrial robot (4) is designed to be suitable to the MRK, wherein s",证据主要是工业机器人和协作工作站，不应被表述为人形机器人发生率证据。,ISO 13482:2014,5.10,Hazards due to robot motion,2,Y,SAFEGUARD,DIRECT,MEDIUM,State-dependent motion control matches motion-hazard mitigation via presence-based speed/force/behavior adjustment near a person.
4,T22_ISO_10218-1_5.10.4,22,Contact-force detection and protective response,Physical human-robot contact is sensed as external/operator force; the controller distinguishes intended guidance from abnormal contact and reduces force or stops.,"A human-collaborative robot system includes a first force detection section that detects external force acting on a robot; a second force detection section that detects only an operating force acting on the robot when a human manually operates the robot; and a safety assurance operation command section that, in the case where the external force detected by the first force detection section exceeds a predetermined threshold value, commands a safety assurance operation of causing the robot to move in a direction that reduces the external force or causing the robot to stop. When the human is manually operating the robot while the robot is in the stopped state, the safety assurance operation com",主要是通用协作机器人或工业机器人，并非全部属于人形机器人。,ISO 10218-1:2025,5.10.4,Power and force limiting (PFL),2,Y,SAFEGUARD,PARTIAL,MEDIUM,"The mechanism provides a reactive safety response to excess contact force, but PFL requires limiting power/force at the human contact itself; the evidence does not show intrinsic force/pressure limiting or compliance with the clause’s safe-limit criteria."
5,T25_ISO_10218-2_5.10.2,25,Shared-workspace state-dependent motion control,"Human presence and workspace/tactile state are used to assign a hazard state and select robot speed, force, or operating behavior near a person.","[CLAIM 1] 1. A work station having a programmable industrial robot (4), wherein said work station (1) of the industrial robot (4) has a manual station near the worker (5), wherein said work station (1) is designed for human collaboration, MRK, wherein the industrial robot (4) and the working space of the worker (5) crossing the working space, and can have physical contact between the said industrial robot (4) and said worker (5). wherein said work station (1) is divided into a plurality of different areas (17, 18, 19, 20), the regions with different degree, from dangerous degree of the industrial robot (4), and wherein the industrial robot (4) is designed to be suitable to the MRK, wherein s",证据主要是工业机器人和协作工作站，不应被表述为人形机器人发生率证据。,ISO 10218-2:2025,5.10.2,Prevention of falling hazards,2,N,SAFEGUARD,INSUFFICIENT,LOW,"Clause 5.10.2 is about preventing falling hazards, but the cited mechanism only adjusts robot motion based on human/workspace state. The evidence does not show any anti-fall measure such as securing loads, detecting drop risk, or preventing objects/robot parts from falling."
6,T25_ISO_10218-2_5.14.5,25,Shared-workspace state-dependent motion control,"Human presence and workspace/tactile state are used to assign a hazard state and select robot speed, force, or operating behavior near a person.","[CLAIM 1] 1. A work station having a programmable industrial robot (4), wherein said work station (1) of the industrial robot (4) has a manual station near the worker (5), wherein said work station (1) is designed for human collaboration, MRK, wherein the industrial robot (4) and the working space of the worker (5) crossing the working space, and can have physical contact between the said industrial robot (4) and said worker (5). wherein said work station (1) is divided into a plurality of different areas (17, 18, 19, 20), the regions with different degree, from dangerous degree of the industrial robot (4), and wherein the industrial robot (4) is designed to be suitable to the MRK, wherein s",证据主要是工业机器人和协作工作站，不应被表述为人形机器人发生率证据。,ISO 10218-2:2025,5.14.5,Speed and separation monitoring (SSM),2,Y,SAFEGUARD,PARTIAL,MEDIUM,"The mechanism reflects adaptive speed/behavior control near a person, but SSM specifically requires monitored separation between human and robot; the evidence does not clearly show continuous separation-distance monitoring or safety-rated separation-based control."
7,T25_ISO_10218-1_5.5.3,25,Shared-workspace state-dependent motion control,"Human presence and workspace/tactile state are used to assign a hazard state and select robot speed, force, or operating behavior near a person.","[CLAIM 1] 1. A work station having a programmable industrial robot (4), wherein said work station (1) of the industrial robot (4) has a manual station near the worker (5), wherein said work station (1) is designed for human collaboration, MRK, wherein the industrial robot (4) and the working space of the worker (5) crossing the working space, and can have physical contact between the said industrial robot (4) and said worker (5). wherein said work station (1) is divided into a plurality of different areas (17, 18, 19, 20), the regions with different degree, from dangerous degree of the industrial robot (4), and wherein the industrial robot (4) is designed to be suitable to the MRK, wherein s",证据主要是工业机器人和协作工作站，不应被表述为人形机器人发生率证据。,ISO 10218-1:2025,5.5.3,Speed limit(s) monitoring,2,N,SAFEGUARD,INSUFFICIENT,LOW,"The clause title suggests speed-limit monitoring, but the normative text is not known here. The described mechanism selects robot speed/behavior from human presence and workspace state, yet it is unclear whether it performs the specific monitoring function required by the clause or only speed adaptation."
8,T22_ISO_10218-2_6.3.3,22,Contact-force detection and protective response,Physical human-robot contact is sensed as external/operator force; the controller distinguishes intended guidance from abnormal contact and reduces force or stops.,"A human-collaborative robot system includes a first force detection section that detects external force acting on a robot; a second force detection section that detects only an operating force acting on the robot when a human manually operates the robot; and a safety assurance operation command section that, in the case where the external force detected by the first force detection section exceeds a predetermined threshold value, commands a safety assurance operation of causing the robot to move in a direction that reduces the external force or causing the robot to stop. When the human is manually operating the robot while the robot is in the stopped state, the safety assurance operation com",主要是通用协作机器人或工业机器人，并非全部属于人形机器人。,ISO 10218-2:2025,6.3.3,Biomechanical limits,2,N,NONE,INSUFFICIENT,LOW,"The clause text is not provided, so I cannot determine whether this contact-force sensing/stopping mechanism matches the normative requirements for biomechanical limits rather than only a generic protective stop."
9,T22_ISO_10218-2_5.14.6,22,Contact-force detection and protective response,Physical human-robot contact is sensed as external/operator force; the controller distinguishes intended guidance from abnormal contact and reduces force or stops.,"A human-collaborative robot system includes a first force detection section that detects external force acting on a robot; a second force detection section that detects only an operating force acting on the robot when a human manually operates the robot; and a safety assurance operation command section that, in the case where the external force detected by the first force detection section exceeds a predetermined threshold value, commands a safety assurance operation of causing the robot to move in a direction that reduces the external force or causing the robot to stop. When the human is manually operating the robot while the robot is in the stopped state, the safety assurance operation com",主要是通用协作机器人或工业机器人，并非全部属于人形机器人。,ISO 10218-2:2025,5.14.6,Power and force limiting (PFL),2,Y,SAFEGUARD,PARTIAL,MEDIUM,"The mechanism is a reactive force-sensing protective stop/reduction, but PFL typically requires the robot to inherently limit power/force at the collaborative interface, not only detect excess force and then stop."
10,T25_ISO_13482_6.4,25,Shared-workspace state-dependent motion control,"Human presence and workspace/tactile state are used to assign a hazard state and select robot speed, force, or operating behavior near a person.","[CLAIM 1] 1. A work station having a programmable industrial robot (4), wherein said work station (1) of the industrial robot (4) has a manual station near the worker (5), wherein said work station (1) is designed for human collaboration, MRK, wherein the industrial robot (4) and the working space of the worker (5) crossing the working space, and can have physical contact between the said industrial robot (4) and said worker (5). wherein said work station (1) is divided into a plurality of different areas (17, 18, 19, 20), the regions with different degree, from dangerous degree of the industrial robot (4), and wherein the industrial robot (4) is designed to be suitable to the MRK, wherein s",证据主要是工业机器人和协作工作站，不应被表述为人形机器人发生率证据。,ISO 13482:2014,6.4,Safety-related speed control,2,Y,SAFEGUARD,DIRECT,MEDIUM,
