bertopic_id,bertopic_name,safety_score,safety_category,rationale,llm_score,llm_category,llm_confidence,keyword_score,keyword_category,fusion_rule,api_ok,api_error
0,0_leg_end_wheel_connected,1,not_safety,[llm_low] Predominantly mechanical structure and actuator components for a wheel-legged robot; obstacle avoidance module is mentioned but not described as a human-protection safety mechanism.,1.0,not_safety,0.9,1,collision_protection,low_max,True,
1,1_humanoid robot_humanoid_joint_robot,2,stability_balance,[llm_low] Variable-load standing control indirectly relates to fall prevention but is framed as improving control accuracy and response time without explicitly describing human-protection or hazard-prevention purpose.,2.0,stability_balance,0.75,1,force_control,low_max,True,
2,2_voice_user_emotion_expression,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,filtered,True,
3,3_foot_robot_foot robot_leg,1,not_safety,"[llm_low] The abstract concerns quadruped robot foot trajectory and terrain-adaptive gait stability to reduce self-impact, not explicit humanoid human-protection or hazard-prevention.",1.0,not_safety,0.9,1,force_control,low_max,True,
4,4_finger_thumb_palm_knuckle,0,not_safety,"[filtered] LLM(1, conf=0.95) without keyword support; treated as not_safety.",1.0,not_safety,0.95,0,not_safety,filtered,True,
5,5_learning_training_strategy_network,2,stability_balance,"[llm_low] The abstract describes a reinforcement learning method for stable humanoid gait, which indirectly relates to fall prevention but does not explicitly frame it as a human-protection safety mechanism.",2.0,stability_balance,0.7,1,stability_balance,low_max,True,
6,6_network_learning_foot_strategy,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,filtered,True,
7,7_vehicle_lane_driving_lane changing,2,collision_protection,[keyword_fallback] Matched: collision,0.0,not_safety,0.95,2,collision_protection,keyword_fallback,True,
8,8_patient_medical_device_user,1,fault_detection,[keyword_low] Matched: diagnosis,0.0,not_safety,0.95,1,fault_detection,low_max,True,
9,9_hip_thigh_joint_second,0,not_safety,"[filtered] LLM(0, conf=0.90) without keyword support; treated as not_safety.",0.0,not_safety,0.9,0,not_safety,filtered,True,
10,10_grabbing_hand_task_humanoid,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,filtered,True,
11,11_toy_left_doll_game,0,not_safety,"[filtered] LLM(0, conf=0.98) without keyword support; treated as not_safety.",0.0,not_safety,0.98,0,not_safety,filtered,True,
12,12_bearing_shaft_motor_output,2,fail_safe_emergency,"[llm_low] Includes an electromagnetic safety brake for rapid stopping, but the abstract primarily describes a mechanical integrated joint structure without explicitly tying the brake to human protection.",2.0,fail_safe_emergency,0.7,1,force_control,low_max,True,
13,13_connecting_shell_piece_second,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1.0,not_safety,0.9,0,not_safety,filtered,True,
14,14_training_target_target body_plate,0,not_safety,"[filtered] LLM(0, conf=0.99) without keyword support; treated as not_safety.",0.0,not_safety,0.99,0,not_safety,filtered,True,
15,15_point_point cloud_cloud_map,4,collision_protection,[llm_low] Abstract describes real-time point-cloud-based obstacle avoidance and stability/safety assurance during target following for a legged robot.,4.0,collision_protection,0.85,1,stability_balance,low_max,True,
16,16_test_testing_plate_device,1,not_safety,"[llm_low] The abstract describes a joint module performance testing rig for humanoid robots, not a safety mechanism for protecting humans or preventing hazards.",1.0,not_safety,0.9,1,stability_balance,low_max,True,
17,17_data_task_semantic_humanoid robot,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,filtered,True,
18,18_plate_bridge_ladder_rod,1,stability_balance,[keyword_low] Matched: stability,0.0,not_safety,0.98,1,stability_balance,low_max,True,
