bertopic_id,bertopic_name,safety_score,safety_category,rationale,llm_score,llm_category,llm_confidence,keyword_score,keyword_category,fusion_rule,api_ok,api_error
0,0_leg_end_wheel_connected,2,stability_balance,"[llm_low] The abstract mentions stability control and obstacle avoidance, but the focus is on efficient control and simple structure, not explicit human protection or hazard prevention.",2,stability_balance,0.8,1,collision_protection,low_max,True,
1,1_humanoid robot_humanoid_joint_robot,1,not_safety,"[llm_low] The abstract describes a variable-load standing control method using adaptive control for stability, but does not explicitly mention human safety or hazard prevention.",1,not_safety,0.9,1,force_control,low_max,True,
2,2_voice_user_emotion_expression,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
3,3_foot_robot_foot robot_leg,2,stability_balance,"[llm_low] Focuses on terrain-adaptive foot trajectory control for stability and impact reduction, but primarily for robot locomotion performance rather than explicit human protection.",2,stability_balance,0.9,1,force_control,low_max,True,
4,4_finger_thumb_palm_knuckle,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
5,5_learning_training_strategy_network,1,not_safety,[llm_low] Reinforcement learning for gait control; no explicit safety mechanism or human-protection purpose.,1,not_safety,0.95,1,stability_balance,low_max,True,
6,6_network_learning_foot_strategy,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
7,7_vehicle_lane_driving_lane changing,2,collision_protection,[keyword_fallback] Matched: collision,0,not_safety,0.95,2,collision_protection,keyword_fallback,True,
8,8_patient_medical_device_user,1,fault_detection,[keyword_low] Matched: diagnosis,0,not_safety,0.95,1,fault_detection,low_max,True,
9,9_hip_thigh_joint_second,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
10,10_grabbing_hand_task_humanoid,0,not_safety,"[filtered] LLM(1, conf=0.95) without keyword support; treated as not_safety.",1,not_safety,0.95,0,not_safety,filtered,True,
11,11_toy_left_doll_game,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
12,12_bearing_shaft_motor_output,2,fail_safe_emergency,"[llm_low] The abstract mentions an electromagnetic safety brake, but the primary focus is on the mechanical integration and performance of the joint, not on explicit human protection or hazard prevention.",2,fail_safe_emergency,0.8,1,force_control,low_max,True,
13,13_connecting_shell_piece_second,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
14,14_training_target_target body_plate,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
15,15_point_point cloud_cloud_map,2,safe_control,[llm_low] Target following with obstacle avoidance for legged robots; mentions safety but is primarily a navigation/control method.,2,safe_control,0.8,1,stability_balance,low_max,True,
16,16_test_testing_plate_device,1,stability_balance,[keyword_low] Matched: stability,0,not_safety,0.95,1,stability_balance,low_max,True,
17,17_data_task_semantic_humanoid robot,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
18,18_plate_bridge_ladder_rod,1,stability_balance,[keyword_low] Matched: stability,0,not_safety,0.95,1,stability_balance,low_max,True,
19,19_joint_wrist_connecting_knee joint,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
20,20_layer_skin_textile_bionic,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
21,21_decision_semantic information_semantic_information,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
22,22_force_external force_human robot_robot,5,safe_control,"[llm_low] The abstracts explicitly describe external force detection and retreat/stop operations to reduce force during human-robot collaboration, directly protecting humans from hazardous contact.",5,safe_control,0.95,1,force_control,low_max,True,
23,23_image_vehicle_images_camera,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
24,24_massage_mi_bed_mi mi,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
25,25_industrial robot_industrial_tool_work,5,risk_assessment,[llm_low] The abstracts explicitly describe a human-robot collaboration workstation with zones of different hazard levels to protect workers from industrial robot risks.,5,risk_assessment,0.95,0,not_safety,low_max,True,
26,26_face_image_video_frame,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
27,27_path_navigation_obstacle_point,3,safe_control,"[agreement] LLM(4) + keyword(2): Path planning explicitly includes safety assessment of fall risk, collision risk, and dynamic obstacle prediction for humanoid robot navigation.",4,safe_control,0.95,2,collision_protection,agreement,True,
28,28_tobacco_robotic_operation_shelf,1,force_control,"[keyword_low] Matched: force sensor, impedance",0,not_safety,0.95,1,force_control,low_max,True,
29,29_module_intelligent_service_display,2,safety_monitoring,"[agreement] LLM(2) + keyword(3): The system includes anti-collision and emergency stop switches, but the primary purpose is display and interaction, not explicit human protection.",2,safety_monitoring,0.8,3,collision_protection,agreement,True,
30,30_inspection_detection_disease_tunnel,1,thermal_management,[keyword_low] Matched: thermal,0,not_safety,0.95,1,thermal_management,low_max,True,
31,31_lamp_light_display_led,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
32,32_action_data_sequence_motion,2,collision_protection,"[keyword_fallback] Matched: collision avoidance, collision, balance control, balance",1,not_safety,0.9,2,collision_protection,keyword_fallback,True,
33,33_path_grid_map_point,2,collision_protection,"[agreement] LLM(3) + keyword(2): Obstacle avoidance and path planning for quadruped robot, but not explicitly humanoid or human-protection focused.",3,collision_protection,0.9,2,collision_protection,agreement,True,
34,34_commands_position sensor_position velocity_velocity,0,not_safety,"[filtered] LLM(3, conf=0.80) without keyword support; treated as not_safety.",3,stability_balance,0.8,0,not_safety,filtered,True,
35,35_image_chess_point cloud_cloud,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
36,36_welding_welding robot_straightening_mechanical,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
37,37_foot_sole_heel_arch,2,stability_balance,"[llm_low] The foot design includes elastic buffers and ground sensors that improve stability and impact absorption, but the abstracts do not explicitly mention human safety or hazard prevention.",2,stability_balance,0.9,1,force_control,low_max,True,
38,38_control_robot_core_nios,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
39,39_picking_mechanism_device_cake,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
40,40_wheel_leg_wheel leg_wheel legged,3,stability_balance,"[llm_low] Balance control for wheel-legged robot improves stability, which is safety-relevant but not explicitly human-protection.",3,stability_balance,0.9,1,stability_balance,low_max,True,
41,41_image_detection_human_human shape,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
