bertopic_id,bertopic_name,bertopic_count,safety_score,safety_category,rationale,llm_score,llm_category,llm_confidence,keyword_score,keyword_category,keyword_matched,fusion_rule,api_ok,api_error,requested_model,response_model,response_id,request_temperature,request_max_tokens,started_at_utc,finished_at_utc
0,0_leg_end_wheel_connected,628,1,not_safety,"[llm_low] Abstract primarily describes a mechanical wheel-legged robot structure with motors, linkages, and wheels, mentioning stability control and obstacle avoidance only peripherally without explicit human-protection purpose.",1.0,not_safety,0.9,1,collision_protection,"obstacle avoidance, stability",low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-SzFH6Ok3kAhcJ4BITMhlP0kL,1.0,2048,2026-07-31T06:48:49.355512+00:00,2026-07-31T06:49:24.306448+00:00
1,1_humanoid robot_humanoid_joint_robot,441,1,not_safety,"[llm_low] The abstract describes a model reference adaptive control method for variable-load standing, focused on control accuracy and response time rather than explicit human protection or hazard prevention.",1.0,not_safety,0.9,1,force_control,"torque control, stability",low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-knA3TwbPUDZ8Hxm84PCpoG78,1.0,2048,2026-07-31T06:48:49.360024+00:00,2026-07-31T06:49:14.744403+00:00
2,2_voice_user_emotion_expression,310,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-FBVrMzSpYUqMYDW6wk3JrcBa,1.0,2048,2026-07-31T06:48:49.365024+00:00,2026-07-31T06:48:59.683284+00:00
3,3_foot_robot_foot robot_leg,226,2,stability_balance,"[llm_low] Abstract focuses on terrain-adaptive foot trajectory control for quadruped stability and reducing hardware impact, without explicit human-protection or hazard-prevention purpose.",2.0,stability_balance,0.85,1,force_control,"force sensor, stability",low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-oyVazxE0Liof6xXeY5smRsnw,1.0,2048,2026-07-31T06:48:49.363024+00:00,2026-07-31T06:49:03.142350+00:00
4,4_finger_thumb_palm_knuckle,209,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-2Onnnfv8FMCuT6ixk0ssXSMn,1.0,2048,2026-07-31T06:48:59.683284+00:00,2026-07-31T06:49:06.691818+00:00
5,5_learning_training_strategy_network,192,1,not_safety,[llm_low] Reinforcement learning for stable walking gait control; no explicit human-protection or hazard-prevention purpose described.,1.0,not_safety,0.9,1,stability_balance,stability,low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-7HMo9IT5TMtCv2a59mtTF5Lc,1.0,2048,2026-07-31T06:49:03.142350+00:00,2026-07-31T06:49:16.779917+00:00
6,6_network_learning_foot_strategy,178,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1.0,not_safety,0.9,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-vd7TtfasJMKiTrRGEDJzYvJX,1.0,2048,2026-07-31T06:49:06.692329+00:00,2026-07-31T06:49:13.579014+00:00
7,7_vehicle_lane_driving_lane changing,170,2,collision_protection,[keyword_fallback] Matched: collision,0.0,not_safety,0.95,2,collision_protection,collision,keyword_fallback,True,,kimi-for-coding,kimi-for-coding,chatcmpl-2BHYqHVpahQhrMX8uRHDGUlY,1.0,2048,2026-07-31T06:49:13.579014+00:00,2026-07-31T06:49:33.301512+00:00
8,8_patient_medical_device_user,158,1,not_safety,[llm_low] Psychological counseling and rehabilitation device for patients using service robots; no explicit humanoid robot safety or human-protection mechanism described.,1.0,not_safety,0.9,1,fault_detection,diagnosis,low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-UpjJg4D63bBUPl7gMFMqqh4G,1.0,2048,2026-07-31T06:49:14.744974+00:00,2026-07-31T06:49:31.106707+00:00
9,9_hip_thigh_joint_second,153,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-uWLCJcQ5QTKJAPI39pl4ucHT,1.0,2048,2026-07-31T06:49:16.780916+00:00,2026-07-31T06:49:28.735897+00:00
10,10_grabbing_hand_task_humanoid,133,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1.0,not_safety,0.9,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-Bj3iQTKBBW7ZiasWHTzjQI49,1.0,2048,2026-07-31T06:49:24.306448+00:00,2026-07-31T06:50:03.642460+00:00
11,11_toy_left_doll_game,119,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-pEyEAbYxIiOSWhF7GlAFIT3N,1.0,2048,2026-07-31T06:49:28.736401+00:00,2026-07-31T06:49:53.174333+00:00
12,12_bearing_shaft_motor_output,113,2,fail_safe_emergency,"[llm_low] The abstract mentions an electromagnetic safety brake, but the overall topic is an integrated mechanical joint/transmission, making safety connection weak and peripheral.",2.0,fail_safe_emergency,0.85,1,force_control,torque sensor,low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-BEYdqTPk3JnnPAbGoyB0Xtfm,1.0,2048,2026-07-31T06:49:31.106707+00:00,2026-07-31T06:50:11.690158+00:00
13,13_connecting_shell_piece_second,104,0,not_safety,"[filtered] LLM(1, conf=0.95) without keyword support; treated as not_safety.",1.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-l1xHPsCvCKrec4ZLlPbNX8Sy,1.0,2048,2026-07-31T06:49:33.302016+00:00,2026-07-31T06:50:05.150862+00:00
14,14_training_target_target body_plate,104,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-zVl4X2uyngVM8xhlM8PsNX9G,1.0,2048,2026-07-31T06:49:53.174842+00:00,2026-07-31T06:50:05.525853+00:00
15,15_point_point cloud_cloud_map,95,3,collision_protection,"[llm_low] The abstract describes obstacle avoidance and safety/stability during target following for a legged robot, but the focus is navigation rather than explicit human protection in a humanoid.",3.0,collision_protection,0.75,1,stability_balance,stability,low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-SQYrCsLfcp53szKSI4STNjKe,1.0,2048,2026-07-31T06:50:03.643056+00:00,2026-07-31T06:50:17.998497+00:00
16,16_test_testing_plate_device,92,1,not_safety,[llm_low] Joint module performance testing system for measuring compression resistance and stability; no explicit human-protection or hazard-prevention purpose described in the abstract.,1.0,not_safety,0.9,1,stability_balance,stability,low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-0nby7zkZn8M4KIGmg2toedfm,1.0,2048,2026-07-31T06:50:05.150862+00:00,2026-07-31T06:50:20.329542+00:00
17,17_data_task_semantic_humanoid robot,89,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-L0t2uyYIxlh3ocJJIkx7nHk3,1.0,2048,2026-07-31T06:50:05.526500+00:00,2026-07-31T06:50:18.879002+00:00
18,18_plate_bridge_ladder_rod,89,1,stability_balance,[keyword_low] Matched: stability,0.0,not_safety,0.98,1,stability_balance,stability,low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-Zn8pVjLw11958DK3pEQNC9XE,1.0,2048,2026-07-31T06:50:11.691164+00:00,2026-07-31T06:50:20.548896+00:00
19,19_joint_wrist_connecting_knee joint,88,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-Y0j6tu8W7OaFJbheogQHAgZp,1.0,2048,2026-07-31T06:50:17.999502+00:00,2026-07-31T06:50:22.497628+00:00
20,20_layer_skin_textile_bionic,84,0,not_safety,"[filtered] LLM(1, conf=0.85) without keyword support; treated as not_safety.",1.0,not_safety,0.85,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-sUudfUF8hS2tAQOLH0rUkktz,1.0,2048,2026-07-31T06:50:18.880496+00:00,2026-07-31T06:50:38.743455+00:00
21,21_decision_semantic information_semantic_information,83,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-kVsRoEQWOqrwHNz7eAVLKro4,1.0,2048,2026-07-31T06:50:20.329542+00:00,2026-07-31T06:50:37.331481+00:00
22,22_force_external force_human robot_robot,82,5,safe_control,[llm_low] Abstracts describe detecting external forces on the robot during human collaboration and commanding safety assurance operations (retreat or stop) when forces exceed thresholds to reduce hazardous contact.,5.0,safe_control,0.95,1,force_control,force sensor,low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-DCkkMJKW6BUxQszyfA4qc3mE,1.0,2048,2026-07-31T06:50:20.548896+00:00,2026-07-31T06:50:38.553627+00:00
23,23_image_vehicle_images_camera,81,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-7LtwNqmkl0pKOF1UVxJuIJ3E,1.0,2048,2026-07-31T06:50:22.498131+00:00,2026-07-31T06:50:31.822559+00:00
24,24_massage_mi_bed_mi mi,81,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-xuQ66gaR1ShtyPL7ZyKh9T8s,1.0,2048,2026-07-31T06:50:31.824668+00:00,2026-07-31T06:50:47.906125+00:00
25,25_industrial robot_industrial_tool_work,79,0,not_safety,"[filtered] LLM(2, conf=0.90) without keyword support; treated as not_safety.",2.0,risk_assessment,0.9,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-of5qgg1zrlVoku5MNxL6ZqXg,1.0,2048,2026-07-31T06:50:37.332481+00:00,2026-07-31T06:50:55.181653+00:00
26,26_face_image_video_frame,76,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-JkPE3K7eW7njgeS8v1P4JTyR,1.0,2048,2026-07-31T06:50:38.553627+00:00,2026-07-31T06:50:44.416394+00:00
27,27_path_navigation_obstacle_point,74,3,collision_protection,"[agreement] LLM(4) + keyword(2): The abstract describes predicting dynamic obstacle trajectories, identifying traffic conflict areas with humans, and selecting paths via multi-dimensional safety assessment of collision, fall, and energy-consumption risks.",4.0,collision_protection,0.9,2,collision_protection,"obstacle avoidance, collision, safety assessment, balance",agreement,True,,kimi-for-coding,kimi-for-coding,chatcmpl-aRGMTwwURK2eIm6lTsJvnNBq,1.0,2048,2026-07-31T06:50:38.743966+00:00,2026-07-31T06:51:04.645037+00:00
28,28_tobacco_robotic_operation_shelf,63,1,not_safety,"[llm_low] Impedance and force control are used for flexible assembly operations in manufacturing, not for protecting humans or preventing hazardous human-robot contact.",1.0,not_safety,0.9,1,force_control,"force sensor, impedance",low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-E3pGJgm2zRJFnW3DBZ35AF8L,1.0,2048,2026-07-31T06:50:44.416394+00:00,2026-07-31T06:50:53.157386+00:00
29,29_module_intelligent_service_display,63,3,safety_monitoring,"[agreement] LLM(3) + keyword(3): The abstract mentions anti-collision switches, emergency stop switches, and obstacle avoidance, but the overall system is for shoe/clothing display and interactive promotion, making safety peripheral.",3.0,safety_monitoring,0.85,3,collision_protection,"anti-collision, obstacle avoidance, collision, emergency stop",agreement,True,,kimi-for-coding,kimi-for-coding,chatcmpl-gVOxosbOXJu3C3Kf8BPsFTIt,1.0,2048,2026-07-31T06:50:47.906125+00:00,2026-07-31T06:50:55.937600+00:00
30,30_inspection_detection_disease_tunnel,57,1,thermal_management,[keyword_low] Matched: thermal,0.0,not_safety,0.95,1,thermal_management,thermal,low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-P8wYlZvErygEonUle81LcgG7,1.0,2048,2026-07-31T06:50:53.157386+00:00,2026-07-31T06:50:59.052849+00:00
31,31_lamp_light_display_led,57,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,,filtered,True,,kimi-for-coding,kimi-for-coding,chatcmpl-MiRcdIFqMKt06Vyif7wsHddF,1.0,2048,2026-07-31T06:50:55.181653+00:00,2026-07-31T06:51:01.401179+00:00
32,32_action_data_sequence_motion,56,2,safe_control,"[agreement] LLM(2) + keyword(2): Includes self-collision avoidance and balance control during imitation, but the primary purpose is motion mapping/remote control rather than explicit human protection.",2.0,safe_control,0.75,2,collision_protection,"collision avoidance, collision, balance control, balance",agreement,True,,kimi-for-coding,kimi-for-coding,chatcmpl-6GdRZCjTN1uc2LwPv6YyiSxU,1.0,2048,2026-07-31T06:50:55.938600+00:00,2026-07-31T06:51:06.650691+00:00
33,33_path_grid_map_point,56,2,collision_protection,[agreement] LLM(2) + keyword(2): Obstacle avoidance and path planning for quadruped robots are indirectly safety-relevant but primarily navigation/motion planning rather than explicit humanoid human-protection safety mechanism.,2.0,collision_protection,0.85,2,collision_protection,obstacle avoidance,agreement,True,,kimi-for-coding,kimi-for-coding,chatcmpl-5acleI4VZpIsD4iDVaDhHQ2o,1.0,2048,2026-07-31T06:50:59.052849+00:00,2026-07-31T06:51:07.138543+00:00
34,34_commands_position sensor_position velocity_velocity,53,4,stability_balance,"[llm_low] The abstract describes tilt, no-tilt, and landing state controllers for maintaining balance and preventing falls in a humanoid robot on an omnidirectional mobile base.",4.0,stability_balance,0.9,0,not_safety,,low_max,True,,kimi-for-coding,kimi-for-coding,chatcmpl-MXT2Z4YtjbxjGihGkrPSmtfD,1.0,2048,2026-07-31T06:51:01.401179+00:00,2026-07-31T06:51:08.707162+00:00
